Pressure (bar),Medium,Leak Size (mm),P1: Mean Frequency,P2: Variance,P3: Skewness,P4: Spectral Kurtosis,P5: Centroid Frequency,P6: Std Dev Centroid Frequency,P7: RMS Frequency,P8: Fourth Moment of Frequency,P9: Flattening Factor,P10: Coefficient of Variation,P11: Skewness of Centroid Frequency,P12: Kurtosis of Centroid Frequency,P13: Square Root Centroid Frequency,P14: RMS Centroid Frequency Deviation,Condition
30,Oil,0.0,0.6496714153011233,0.24308678494144076,0.13295377076201384,3.6569089569224076,137.65846625276663,23.8293152152541,0.8579212815507391,2.353486945830582,1.553052561406505,0.06542560043585964,0.15682911535937688,3.0137080985718976,0.9241962271566034,0.4043359877671101,Normal
30,Oil,0.0,0.42750821674869666,0.22188562353795135,0.09974337759331152,3.2942741997785823,130.91975924478788,17.938481493323543,0.8465648768921554,2.154844739902693,1.6067528204687924,0.04575251813786543,0.15278086377374087,3.2443690358839468,0.7849006422577698,0.5187849009172836,Normal
30,Oil,0.0,0.5399361310081194,0.23541531251033615,0.10796586775541206,3.755683455352681,139.86502775262065,19.711445355220498,0.7822544912103189,1.9558312700057958,1.6208863595004757,0.040403298761202244,0.11359069755507846,3.2787444943476496,0.9738466579995411,0.5085684140594985,Normal
30,Oil,0.0,0.5884351717611759,0.23494481522053556,0.09042956019265144,2.9840467374815876,135.39361229040213,30.285611131094576,0.7343618289568461,1.8473919689274534,1.6324083969394796,0.056149177195836834,0.14615389998470205,3.4446705155363473,1.0030999522495951,0.5465640059558099,Normal
30,Oil,0.0,0.5160782476777361,0.23453938120743928,0.12662526862807127,3.492663538136708,135.2082576215471,24.071705116680914,0.5893665025993972,1.960758675183866,1.68125258223942,0.07356240028570823,0.1763994939209833,3.60141315915681,0.9361636025047635,0.46774401226974377,Normal
30,Oil,0.0,0.6361395605508414,0.32690182832329845,0.11928347921780097,3.669393096744202,113.80254895910255,29.10951252187612,0.708704706823817,2.1401985299068267,1.6091760776535504,0.04012431085399107,0.1690164056081244,3.3428450286046987,1.0477894044741516,0.4740864890863176,Normal
30,Oil,0.0,0.5191506397106812,0.22491214782077318,0.13830804235404148,3.2986253328979056,134.7023979623296,27.56633716556678,0.709707754934804,2.393728998106578,1.5297946906122648,0.05672337853402232,0.1603945923433921,2.6145940207471527,0.9296120277064577,0.5130527636089944,Normal
30,Oil,0.0,0.600511345664246,0.23827064333124265,0.0916925851589917,3.0738064031703924,136.5728548347323,20.988613653891903,0.683871428833399,2.2808101713629076,1.7886185901210532,0.061745778128318385,0.19287751953613821,3.1702216336935334,0.7081228784700959,0.49867430622753917,Normal
30,Oil,0.0,0.6060230209941027,0.37316210562426433,0.11615278070437754,3.290464202700084,139.65288230294757,19.15660981190234,0.814282281451502,2.350386606537355,1.6791031947043047,0.05090612545205261,0.250139715546805,2.639259574883088,0.9586857093800271,0.609522781290499,Normal
30,Oil,0.0,0.5009463674869311,0.2216851135198614,0.12199302730175282,3.0489573037651403,124.49336568933867,25.342814874030136,0.5937696286273895,2.2947184861270364,1.5080575765766198,0.07549934405017539,0.14083733538318813,3.0711753935177297,0.9813517217369669,0.43845678417830225,Normal
30,Oil,0.0,0.6227459934604129,0.31535713771412144,0.08785033530877545,3.2553901575596913,142.59882794248423,28.90911435888655,0.5763049289121918,1.9359086773831449,1.6521941565616898,0.06296984673233186,0.19252464251729381,3.3385792837987904,0.831997527842151,0.5116126848580502,Normal
30,Oil,0.0,0.6293072473298681,0.21428242909868161,0.15731549022289512,3.3421498762735364,128.08696502797352,28.28276804316915,0.6025318329772678,2.3574169207484905,1.7158595579007405,0.05179317681648289,0.2281688064622161,3.3651123707745993,0.982206015999449,0.5948396491326974,Normal
30,Oil,0.0,0.5754611883997129,0.21231319178212552,0.10220971140748952,2.9552569145103686,139.22898290585897,26.70575987408322,0.7276690799330019,2.365436649807205,1.6013001891877907,0.07453534077157317,0.16676715833810218,4.288067666635848,0.9625667347765007,0.4571421221791859,Normal
30,Oil,0.0,0.49291075019388875,0.27412362076215924,0.11553074429348298,3.4142001482276276,144.73237624573545,24.635855436715637,0.6153206281931595,1.8970305550628273,1.555348504793298,0.06856398794323472,0.19070468720651018,2.701704488515205,0.9173180925851182,0.5192658689864419,Normal
30,Oil,0.0,0.5116142563798867,0.2576862552972764,0.12116417436891999,2.857108910650813,143.57787360348283,27.80392263184117,0.8083051243175277,2.4107604104069806,1.462233063204291,0.05062174960084877,0.205751763360433,3.4055143803648837,0.9515047686306048,0.6926365745327361,Normal
30,Oil,0.0,0.6570890510693167,0.30677828200902996,0.13908003526986404,3.3954173753917396,136.84730755359655,28.794846102466337,0.6227174785462428,2.1526362786519986,1.5514636452170898,0.06081874139386322,0.2957329283336754,2.453093922963301,0.9686260190374514,0.4193642064405174,Normal
30,Oil,0.0,0.5528068134210566,0.3044475298483683,0.12128560038190925,2.8766765666212084,132.84696290740033,28.39798874467338,0.6269633368282863,2.2432917179163954,1.6045571839903814,0.053483996523941826,0.2871972044662663,3.4535676089272047,0.6974857413342392,0.5093227157384714,Normal
